"id","name","category_id","ref","property_payment_term","credit_limit","is_company","customer","supplier","parent_id/id","type","use_parent_address","street","street2","zip","country_id","phone","mobile","fax","email","website","comment","user_id"
"res_partner_supplier_n_25","Goldern Filtech Corporation Ltd.","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","26 Soi Onnut59,","Prawet Bangkok 10250","10250","Thailand","02-3200961-3",,"02-3225472",,,,
"res_partner_supplier_n_26","Green Industry Services Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","346 Soi Khumsupnakorn, Moo 12, Puttamonthon 3 Road","Khaeng Salathammasop, Khet Taveewattana Bangkok ",,"Thailand","02-8880202",,"02-8880203",,,,
"res_partner_supplier_n_27","Hyperwave International (Thailand) Co., Ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","99/33 หมู่ 5 ถนนสรงประภา ","แขวงสีกัน เขตดอนเมือง Bangkok 10210","10210","Thailand","0-2524-4421",,"0-2524-4420",,,,
"res_partner_supplier_n_28","IPSH SDN. BHD.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","No.8, Jalan PJU 3/46, Sunway Damansara Technology","Park,47810 Petaling Jaya Selangor ",,"Malaysia","603-78039260",,,,,,
"res_partner_supplier_n_29","M.J.BANGKOK VALVE & FITTING CO.,LTD","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","1126/1 Vanit Building , 16th floor","New Petchburi Rd. Makasan Rachatavee  Bangkok 10330","10330","Thailand","02-254-7624,038-608303",,"038-608-499",,,,
"res_partner_supplier_n_30","MFET Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","80/324 Moo 4 Soi 3, Bankluay-Salnoy Rd,","Pimolratch, Bangbua-Thong, Nonthaburi 11110","11110","Thailand","02-9525863",,"02-9525908",,,,
"res_partner_supplier_n_31","NBfixshop","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","ห้างซีคอนสแควร์ Zone Computer ห้อง iTB 055 ชั้น B1","Prawet Bangkok 10250","10250","Thailand",,,,,,,
"res_partner_supplier_n_32","Prochem (Thai) Co.,ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","5/8 Moo 4, Soi Ramintra 15, Ramintra Rd.","Anusaowaree, Bangkhen Bangkok 10220","10220","Thailand","02-970-6574",,"02-970-6580",,,,
"res_partner_supplier_n_33","Prolific Heating International Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","93/10-11 Moo 14, Kingkaew Rd.","T.Rachathava, A.Bangplee Samutprakarn 10540","10540","Thailand","081-2551199",,,,,,
"res_partner_supplier_n_34","ROJANAPAT ENGINEERING CO.,LTD","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","26/354-355 MU18, PHAHOLYOTHIN,KLONG NUENG,","KLONG LUANG, Pathumthani 10120","10120","Thailand","02-9081928",,,,,,
"res_partner_supplier_n_35","RS Components Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","209/1 KTower B,18th Floor,Unit 1-2,Sukhumvit 21 Rd","(Asoke),Klongtoey Nue,Wattana Bangkok 10110","10110","Thailand","02-6486868",,,,,,
"res_partner_supplier_n_36","SHIPSHAPE SEA STORE CO.,LTD","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","131 Soi Rama 2, Soi 20 Yak 2, Bangmod,","Jhomthong Bangkok 10150","10150","Thailand","Tel : 02-877-1141, 02-468-6907",,"02-4766567",,,,
"res_partner_supplier_n_37","Siam RTD.P. Heater Supply Ltd., Partnership","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","54/24 Moo 1","Tumbon Rangsit, Thayaburi, Phathumtani 12110","12110","Thailand","02-9025110, 081-6478673",,"02-9025184",,,,
"res_partner_supplier_n_38","Tame Tech International Co.,Ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","19/5 Wat-Kodhin - Kaopai Rd.","T.Tapma A. Muangrayong Rayong 21000","21000","Thailand","038-872-091-2",,"038-872-090",,,,
"res_partner_supplier_n_39","Thai Industrial Gases Public Company Limited","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","15th Floor,Bangna Tower,2/3 Moo 14 Bangna-Trad Rd.","(Km. 6.5) T.BangKaew,A Bangplee Samutprakarn 10540","10540","Thailand","02-338-0800",,"02-338-0888",,,,
"res_partner_supplier_n_40","Thai Technic Electric Co.,Ltd.","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","280/7-8 Suksaward Road,","Phrapradang Samutprakarn 10130","10130","Thailand","02-817-0572",,"02-817-0577",,,,
"res_partner_supplier_n_41","TNT Express Worldwide (Thailand) Co., Ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","1768 Thai Summit Tower, New Petchburi Road,","Bangkapi, Huaykwang Bangkok 10320","10320","Thailand","66-2-257-6555",,"66 2 257-6597",,,,
"res_partner_supplier_n_42","Yokogawa (Thailand) Limited","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","267/67-71 Sukuhmvit Rd.,","T.Maptaphut A.Muangpryong Rayong 21150","21150","Thailand","038-607-160-3",,"038-607-164",,,,
"res_partner_supplier_n_43","Advanced Instruments Inc.","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","2855 Metropolitan Place,","Pomona, CA 91767","91767","United States","001-1-909 392 6900",,"001-1-909 392 3665","gavin@aii1.com",,,
"res_partner_supplier_n_44","AFC International Inc","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","PO Box 894 715C SW","Almond St, DeMotte, IN 46310","46310","United States",,,,,,,
"res_partner_supplier_n_45","Air Dimensions Incorporated","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","1371 West Newport Center Dr. Suite 101","Deerfield Beach, FL 33442-7700","33442-7700","United States","(954) 428-7333, (800) 423-6464",,"(954) 360-0987",,,,
"res_partner_supplier_n_46","Collins Products Co., Inc","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","P.O. Box 382 Livingston,"," TX 77351-0382","77351-0382","United States","936-327-4200",,,,,,
"res_partner_supplier_n_47","DEKORON/UNITHERM","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","1531 COMMERCE CREEK BLVD CAPE CORAL,"," FL 33909","33909","United States",,,,,,,
"res_partner_supplier_n_48","SKS Bottle & Packing Inc.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","2500 7th Avenue,","Building 60 West,Watervilet NY 12189","12189","United States",". +1-518-880-6980",,"+1-518-8809-6990",,,,
"res_partner_supplier_n_49","TRIGON TECHNOLOGIES","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","4260 BUSINESS DR,","SHINGLE SPRINGS CA 95682","95682","United States",,,,,,,
"res_partner_supplier_n_50","Universal Analyzers Inc.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","5200 Convair Dr,","Carson City, NV 89706","89706","United States","(800) 993-9309, (775) 883-2500",,"(775) 883-6388",,,,
"res_partner_supplier_n_51","Advance Permanent Co.,Ltd.","Domestic",,"45 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","77/562 หมู่ 12 ถ.รามอินทรา","แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 12050","12050","Thailand","02-907-2133-4",,"02-907-2189",,,,
"res_partner_supplier_n_52","Industrial Electrical Co.,ltd.","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","85/2-3 ซอยสดพิณสรร ถ.รางน้ำ","แขวงถนนพญาไท เขตราชเทวี10400 กรุงเทพฯ 10400","10400","Thailand","02-642-6700",,"02-642-4250",,,,
"res_partner_supplier_n_53","ITS (Thailand) Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","47/1,49/1 ซอยปรียานุช ถนนพระราม9","แขวงบางกะปิ เขตห้วงขวาง กรุงเทพฯ 10310","10310","Thailand","02-369-1793",,"02-369-1794",,,,
"res_partner_supplier_n_54","PR Pressing","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","ชั้น 3 ศูนย์การค้าแหลมทอง","อ.เมืองระยอง  ระยอง 21000","21000","Thailand","089-5456-132",,,,,,
"res_partner_supplier_n_55","T.S.K. CRANE SERVICE CO.,LTD","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","583 ถนนพระรามที่2","แขวงบางมด เขตจอมทอง กรุงเทพฯ 10150","10150","Thailand","038-681495",,"038-681327",,,,
"res_partner_supplier_n_56","Thai Dry Ice","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","982 ซอยอ่อนนุช 17","แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","10250","Thailand","02-3142347",,"02-3142348",,,,
"res_partner_supplier_n_57","Thai Polymer Supply Co.,Ltd","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","267/196 เมืองใหม่มาบตาพุด ","ต.มาบตาพุด อ.เมือง  ระยอง 21000","21000","Thailand","038-608925-7",,"038-608928",,,,
"res_partner_supplier_n_58","Yong Hong Engineering Co.,Ltd","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","92-94-96-98 ซ.เวิ้งนครเกษม ถ.เจริญกรุง","แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100","10100","Thailand","02-6183000",,"02-6182000",,,,
"res_partner_supplier_n_59","กรมศุลกากร","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","ถนนสุนทรโกษา","เขตคลองเตย กรุงเทพฯ 10110","10110","Thailand",,,,,,,
"res_partner_supplier_n_60","กรุงทองนาฬิกา","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","142/14 ถ.ทุ่งชายกระต่าย "," ระยอง 21000","21000","Thailand","038-611876",,,,,,
"res_partner_supplier_n_61","คลินิคปริ้นเตอร์ แอนด์ ดี-อิงค์","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","115 ห้องเลขที่ 1335, 1337 ซอยศูนย์การค้าสาย 5 ถ.สุขุมวิท","ต.เชิงเนิน อ.เมืองระยอง ระยอง 21000","21000","Thailand","038-860490",,"038-860490",,,,
"res_partner_supplier_n_62","C.S.K Part Supply","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","90/37 หมู่ 4","ต.บางกระทึก อ.สามพราน  นครปฐม ",,"Thailand","02-482-2208",,"02-482-2207",,,,
"res_partner_supplier_n_63","Chaipitakknitting Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","34/7 Moo.4 Baanmai  Bangyai","Nonthaburi Nonthaburi 11140","11140","Thailand","02-4407858-9",,"02-4497877",,,,
"res_partner_supplier_n_64","Chemoscicence(Thailand)Co.,Ltd","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","1244 Pattanakarn Rd,","Suanluang Bangkok 10250","10250",,"02-7175091-5",,"02-7137330",,,,
"res_partner_supplier_n_65","Contrologic Co.,Ltd","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","343,345,347 Sai Pattanakarn3, Pattanakarn Rd,","Suanluang, Bangkok 10250","10250",,"02-7198398,02-3187499",,"02-7198396",,,,
"res_partner_supplier_n_66","GasTech Australia","Oversea",,"45 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","24 Baretta Road,","Wangara WA 6065","6065","Australia",,,,,,,
"res_partner_supplier_n_67","Metro Stone Co.,Ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","85/2 Hi-way No.36","Tapma, Mueang, Rayoung  21000","21000",,"038-626-081-2",,"038-680-556-7",,,,
"res_partner_supplier_n_68","Prodigy Science Instruments Co.,Ltd.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","807/194 Moo 8,","Kukot, Lumlukka Phathumthani 12130","12130","Thailand","02-532-3606-7",,"02-532-3656",,,,
"res_partner_supplier_n_69","Somchai  Jantharasena","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE",,"  ",,,"085-389-0793",,,,,,
"res_partner_supplier_n_70","U Protect Company Limited","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","No.5, Soi Suprapong 3 Yak4, Srinakarin Rd., Nhongb","Nhongbon, Praweth Bangkok 10250","10250","Thailand","(02) 743-3998",,,,,,
"res_partner_supplier_n_71","WIKA Instrumentation Corporation (Thailand)Co.,Ltd","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","850/7 Ladkrabang Road,","Ladkrabang, Ladkrabang Bangkok 10520","10520","Thailand","02-3266876-80",,,,,,
"res_partner_supplier_n_72","เจริญนครเวลดิ้ง (พุทธมณฑลสาย 5)","Domestic",,"45 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","111 หมู่ 11 ถ. พุทธมณฑลสาย 5","ต.ไร่ขิง อ.สามพราน นครปฐม 73210","73210","Thailand","02-431-2211 02-420-5919",,"02-420-5917",,,,
"res_partner_supplier_n_73","นางขนิษฐา  คุ้มสุวรรณ","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","57/7/ ม.5 ต.สำนักท้อน","อ.บ้านฉาง จ.ระยอง ระยอง ",,"Thailand",,,,,,,
"res_partner_supplier_n_74","บริษัท กิบไทย จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","44/6 ถนนสุทธิสารวินิจฉัย","แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพฯ 10320","10320","Thailand","02-274-8331-3, 02-274-7480",,,,,,
"res_partner_supplier_n_75","บริษัท เกรียงไทยวัฒนากรุ๊ป จำกัด (สาขา 1)","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","634 ถนนพระรามที่ 2  ","แขวงบางมด เขตจอมทอง กรุงเทพฯ 10150","10150","Thailand","02-8117410-2",,,,,,
"res_partner_supplier_n_76","บริษัท โกลเด้นสตีล จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","219/3 หมู่5 ถ.สุขุมวิท ","ต.เนินพระ อ.เมือง ระยอง 21150","21150","Thailand","038-967286, 038-967287",,"038-967288",,,,
"res_partner_supplier_n_77","บริษัท คอมบิน่า คอร์ปอเรชั่น จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","49/5 ซอยสุขุมวิท64 ถนนสุขุมวิท ","แขวงบางจาก เขตพระโขนง กรุงเทพฯ 10260","10260","Thailand","คุณอมร",,,,,,
"res_partner_supplier_n_78","บริษัท คิงส์ ออฟ วาล์ว (ระยอง) จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","267/129-130 ถนนสุขุมวิท ","ต.มาบตาพุด อ.เมือง ระยอง 21150","21150","Thailand","038-609285-6/",,"038-609287",,,,
"res_partner_supplier_n_79","บริษัท คิเนติค เอ็นจิเนียริ่ง จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","2 ซอยประชาอุทิศ 56 ถนนประชาอุทิศ","แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพฯ 10140","10140","Thailand","02-873-5550-1, 873-5553",,,,,,
"res_partner_supplier_n_80","บริษัท คิวเทค เทคโนโลยี จำกัด","Domestic",,"7 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","457 ถนนบอนด์สตรีทม ","ตำบลบางพูด อำเภอปากเกร็ดม นนทบุรี 11120","11120","Thailand","02-583-8300",,"02-583-9111-2",,,,
"res_partner_supplier_n_81","บริษัท เคม เทคโนโลยี จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","29/9 หมู่ที่7 ","ตำบลบึงคำพร้อย อำเภอลำลูกกา ปทุมธานี 12150","12150","Thailand","0-2149-2438-9",,"0-2149-2437",,,,
"res_partner_supplier_n_82","บริษัท เคโมไซเอนซ์ (Thailand) จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","1244 ถ.พัฒนาการ ","แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","10250","Thailand","02-717-5091-5",,"02-713-7330",,,,
"res_partner_supplier_n_83","บริษัท แคลิเบรชั่น แลบอราทอรี จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","2/10-11,55 ซ.ประเสริฐมนูกิจ 29 แยก 4","ถ.ประเสริฐมนูกิจ ลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230","10230","Thailand","02-578-0353-4",,"02-578-2672",,,,
"res_partner_supplier_n_84","บริษัท โคโบล์ด เมสชัวเมนท์ส จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","76/29 ม.1 ถ.ติวานนท์","ต.บ้านใหม่ อ.ปากเกร็ด นนทบุรี 11120","11120","Thailand","02-961-4242-3",,"02-961-4244",,,,
"res_partner_supplier_n_85","บริษัท จีเอ็น เซอร์วิส แอนด์ ซัพพลาย จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","287 ถ.สุขุมวิท","ต.ห้วยโป่ง อ.เมืองระยอง ระยอง 21150","21150","Thailand","038-683-665",,"038-684-388",,,,
"res_partner_supplier_n_86","บริษัท ซี.วี.อาร์. สตีล กรุ๊ป จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","97 ถ.สมุทรคงคา ","ต.ท่าประดู่ อ.เมือง  ระยอง 21000","21000","Thailand","038-613277,616044",,"038-612312",,,,
"res_partner_supplier_n_87","บริษัท ซี.อี. อินสทรูเม้นท์ (Thailand) จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","68/876 หมู่ที่ 8 ถ.รัตนาธิเบศร์","ต.บางกระสอ อ.เมืองนนทบุรี นนทบุรี 11000","11000","Thailand","02-9658971-3",,"02-9658974",,,,
"res_partner_supplier_n_88","บริษัท ไซแอนติฟิก โปรโมชั่น จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","1759 ซอยวชิรธรรมสาธิต 57 ถนนสุขุมวิท 101/1","แขวงบางจาก เขตพระโขนง กรุงเทพฯ 10260","10260","Thailand","02-185-4333, 08-1444-0619",,"02-185-4426",,,,
"res_partner_supplier_n_89","บริษัท ดับบลิว อาร์ แอนด์ ดับบลิว เอ็นจิเนียริ่ง จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","599/5 หมู่ที่2 ถนนเศรษฐกิจ1 ","ต.อ้อมน้อย อ.กระทุ่มแบน สมุทรสาคร 74130","74130","Thailand","02-808-5422-6",,"02-808-5427-8",,,,
"res_partner_supplier_n_90","บริษัท ดี-พัฒนะมงคล จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","61 หมู่ 5 ","ต.มาบข่า อ.นิคมพัฒนา ระยอง 21180","21180","Thailand","038-968745, 038-968748",,"038-968717",,,,
"res_partner_supplier_n_91","บริษัท เดนโก้ อินดัสทรี จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","999 หมู่ 8 ถ.สมุทรปราการ-สมุทรสาคร ","ต.นาเกลือ อ.พระสมุทรเจดีย์ สมุทรปราการ 10290","10290","Thailand","02-8485599",,"02-8485598",,,,
"res_partner_supplier_n_92","บริษัท ไดก้า (ไทย) จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","1168/49 อาคารลุมพินีทาวเวอร์ ชั้น 18 ถ.พระราม 4","เขตสาทร กรุงเทพฯ 10120 กรุงเทพฯ 10120","10120","Thailand","02-679-9032-9",,"677-6701-2",,,,
"res_partner_supplier_n_93","บริษัท ตั้งซุ่นฮวดผลิตภัณฑ์ จำกัด","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","264-8 หลานหลวง ","แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ 10100","10100","Thailand","022810690,022823609",,"02-2818424",,,,
"res_partner_supplier_n_94","บริษัท ทองไพศาล 11 จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","46/746 ม.5 ","ต.บางคูรัด อ.บางบัวทอง  นนทบุรี 11110","11110","Thailand","02-926-4569",,"02-927-0373",,,,
"res_partner_supplier_n_95","บริษัท ทิงค์เน็ต จำกัด","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","323 อาคารยูไนเต็ดเซ็นเตอร์ ชั้น14 ห้อง 1402เอ","ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพฯ 10500","10500","Thailand","02-3536999",,"02-3536988",,,,
