id,name,category_id,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_46,"I&E Consultant (Thailand) Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"957 Srinakarin Rd., Suanluang, Suanluang,",,10250,Bangkok,Thailand,,,,,,,,
res_partner_cust_47,IMI Process Instruments Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"9/333-4 Moo 8 Phaholyothin Rd., Anusawwaree,","Bangkhen,",10220,Bangkok,Thailand,,,,,,,,
res_partner_cust_48,"Integrated Quality Services Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"135/27 11thloor, Amornphan 205 Tower 2,","Soi Nathong, Ratchadapisek Road, Dindang, Bangkok",,Bangkok,Thailand,,,,,,,,
res_partner_cust_49,"IMI Process Instruments Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,232/13-14 Phaholyothin Rd. Anusawwaree,Bangkhen  ,10220,Bangkok,Thailand,02-9702974-81,,02-5528403,,,,,
res_partner_cust_50,บมจ. อินโดรามา โพลีเอสเตอร์ อินดัสตรี้ส์,,,,,TRUE,TRUE,FALSE,,Default,FALSE,75/92 อาคารโอเชี่ยน ทาวเวอร์2 ชั้น35 ซอยสุขุมวิท19,(วัฒนา)ถนนอโศก แขวงคลองเตยเหนือ เขตวัฒนา ,10110,กรุงเทพฯ,Thailand,038-683870-8,,038-683880,,,,,
res_partner_cust_51,บริษัท ไคเนติคส์ คอร์ปอเรชั่น จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,388  ถ.รัชดาภิเษก  แขวงจันทรเกษม,เขตจตุจักร  ,10900,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_52,บจก.โคเบลโก้ แอนด์ แมทิเรียลส์ คอปเปอร์ ทิ้ว,,,,,TRUE,TRUE,FALSE,,Default,FALSE,169 หมู่ 2 นิคมอุตสาหกรรมโรจนะ ตำบลหนองบัว,อำเภอบ้านค่าย  ,21120,ระยอง,Thailand,,,,,,,,
res_partner_cust_53,"Kiuchi ( Thailand ) Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"267/260-261 Sukhumvit Rd., MapTaPhut,","Muang, ",21150,Rayong,Thailand,038-609-385-6,,038-609449,,,,,
res_partner_cust_54,บริษัท เคเอสบีที เอ็นจิเนียริ่ง จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,79 ถนนลาดปลาเค้า แขวงอนุสาวรีย์,เขตบางเขน ,10220,กรุงเทพฯ,Thailand,"02-9717870-3,9716373,5222825",,02-9716924,,,,,
res_partner_cust_55,Linde (Thailand) Public Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"2/3 Moo 14, Bangna-Trad Road, T.Bangkaew","A.Bangplee, ",10540,Samutprakarn,Thailand,,,,,,,,
res_partner_cust_56,Linde Air Chemicals Limited.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"2/3 Moo 14, Bangna Tower,15thloor, Bangna-Trand","Road, T.Bangkaew, A. Bangplee, Samutprakarn 10540",10541,Samutprakarn,Thailand,,,,,,,,
res_partner_cust_57,บริษัท แมส เมดิคอล แอดวานซ์ เซอร์วิส จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,120/251 หมู่บ้านธันยากานต์ 2 ถนนวัชรพล,แขวงท่าแร้ง  เขตบางเขน,10220,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_58,MTP HPPO Manufacturing  Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"15thloor, White Group Building II 75 Soi Rubia,","Sukhumvith 42 Prakanong,",10110,Bangkok,Thailand,,,,,,,,
res_partner_cust_59,บริษัท มาบตาพุด แทงค์ เทอร์มินัล จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,271 ถ.สุขุมวิท ต.มาบตาพุด,อ.เมืองระยอง  ,21150,ระยอง,Thailand,,,,,,,,
res_partner_cust_60,"Magnequench (Korat) Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,202 Moo 3 T. Nongbuasala A. Muang,,30000,Nakhonratchasima  ,Thailand,T.044-218251-4,,044-218255,,,,,
res_partner_cust_61,บริษัท มาบตาพุดโอเลฟินส์ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,1 ถ.ปูนซิเมนต์ไทย แขวงบางซื่อ เขตบางซื่อ,,10800,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_62,บริษัท มาสเตอร์-เทค เอ็นจิเนียริ่ง (2001) จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,85/195 ม.3 ต.บางรักพัฒนา อ.บางบัวทอง,,11110,กรุงเทพฯ,Thailand,02-9209447,,,,,,,
res_partner_cust_63,บริษัท นวพลาสติกอุตสาหกรรม จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,130 ม.3 ต.หนองละลอก อ.บ้านค่าย,,21120,จ.ระยอง,Thailand,038-892190-9,,038-892200,,,,,
res_partner_cust_64,บจก.นาลโก อินดัสเทรียลเซอร์วิส (ประเทศไทย),,,,,TRUE,TRUE,FALSE,,Default,FALSE,อาคารทีพีแอนด์ที ชั้น21 เลขที่ 1 ซ.19(อุ่นอนุสรณ์),ถ.วิภาวดีรังสิต แขวงจตุจักร ,,จ.ระยอง,Thailand,,,,,,,,
res_partner_cust_65,OPERATIONAL ENERGY GROUP LIMITED,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"17 THL.OCEAN TOWER 1 BLDG., 170/52 NEW -","RATCHADAPISEK RD.,KWANG KLONGTOEY, KHET KLONGTOEY",10900,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_66,บริษัท โอกลาเทสติ้งแอนด์คอนซัลติ้งเซอร์วิส จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,63/13 เพชรเกษม 7 ถนนเพชรเกษม แขวงวัดท่าพระ,เขตบางกอกใหญ่ ,10600,กรุงเทพฯ,Thailand,02-8681246,,02-8681889,,,,,
res_partner_cust_67,PTT Global Chemical Public Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"555/1 Energy Complex, Building A, 14th-18thloor,","Vibhavadi Rangsit Road, Chatuchak, Chatuchak,",10900,Bangkok,Thailand,,,,,,,,
res_partner_cust_68,PTT Polyethylene Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"555/1 Energy Complex, Building A,15thloor,","Vibhavadi Rangsit Road, Chatuchak, Chatuchak,",10900,Bangkok,Thailand,02-2658400,,02-2658500,,,,,
res_partner_cust_69,บริษัท ปตท. จำกัด (มหาชน),,,,,TRUE,TRUE,FALSE,,Default,FALSE,555 ถนนวิภาวดีรังสิต แขวงจตุจักร,เขตจตุจักร ,10900,กรุงเทพฯ,Thailand,02-5372000,,,,,,,
res_partner_cust_70,PURAC THAILAND,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"3 MOO 2, ASIA INDUSTRIAL EST. TAMBOL BANCHANG,","AMPHOE BANCHANG, RAYONG 21130",21130, RAYONG ,Thailand,,,,,,,,
res_partner_cust_71,บริษัท แพรกซ์แอร์ (ประเทศไทย) จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,156 หมู่ 16 ถนนเทพารักษ์ ตำบลบางเสาธง,อำเภอบางเสาธง ,10540,สมุทรปราการ,Thailand,,,,,,,,
res_partner_cust_72,"Petro-Instruments Corp., Ltd",,,,,TRUE,TRUE,FALSE,,Default,FALSE,7/409 Soi Vibhavadi-Rangsit 36 Vibhavadi-,"Rangsit Rd, Chatuchak, Chatuchak,",10900,Bangkok,Thailand,,,,,,,,
res_partner_cust_73,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),,,,,TRUE,TRUE,FALSE,,Default,FALSE,99 ม.9 ถ.มิตรภาพ กม.129 ต.ทับกวาง,อ.แก่งคอย ,18260,จ.สระบุรี  ,Thailand,036-240930 #4812,,,,,,,
res_partner_cust_74,Pro-Analytics Limited Partnership.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"75/20 Moo 5 T.Bangpood, A.Parkkred",,,,Thailand,,,,,,,,
res_partner_cust_75,บริษัท พีทีที ฟีนอล จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,อาคารเอนเนอร์ยี่คอมเพล็กซ์ ชั้น 4 555/1 ถ.วิภาวดี-,รังสิต แขวงจตุจักร เขตจตุจักร ,10900,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_76,PTT Asahi Chemical Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"555/1 Energy Complex, Building A, 8thloor,","Vibhavadi Rangsit Road, Chatuchak, Chatuchak,",10900,Bangkok,Thailand,,,,,,,,
res_partner_cust_77,บริษัท พีเอ็มซี เลเบิล แมททีเรียลส์ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,30/28 ม.2 ต.โคกขาม อ.เมืองสมุทรสาคร,,74000,จ.สมุทรสาคร,Thailand,034-452000,,034-452019,,,,,
res_partner_cust_78,บริษัท โพลีเทคโนโลยี จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,108/59 ซ.ต้นสน ม.5 ถ.แจ้งวัฒนะ,ต.ปากเกร็ด อ.ปากเกร็ด ,11120,นนทบุรี,Thailand,02-9605070,,02-5846771,,,,,
res_partner_cust_79,บริษัท พีทีที ยูทิลิตี้ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,555 ถนนอาจณรงค์ แขวงคลองเตย เขตคลองเตย,,10260,กรุงเทพฯ,Thailand,02-239-7862,,,,,,,
res_partner_cust_80,บริษัท ระยองโอเลฟินส์ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,271 ถ.สุขุมวิท ต.มาบตาพุด,อ.เมือง ,21150,จ.ระยอง,Thailand,038-911441-2,,,,,,,
res_partner_cust_81,บริษัท ซิสเต็มเมติค อินสทรูเม้นท์ (ประเทศไทย)จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,22 ซอยเพชรเกษม 48 แยก 47 ถนนเพชรเกษม,แขวงบางด้วน เขตภาษีเจริญ ,10160,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_82,"Styrolution (Thailand) Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"4/2, I-8 Road Thumbon Map Ta Phut","Amphur Muang, ",21150,Rayong,Thailand,,,,,,,,
res_partner_cust_83,Star Petroleum Refining Public Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No. 1, I-3B Road, Map Ta Phut,","Muang, Rayong  ",21150,Rayong,Thailand,038-699000,,038-699999,,,,,
res_partner_cust_84,บริษัท สยามเคมีคอลอินดัสตรี้ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,ชั้น 17 อาคารนันทวัน 161 ถนนราชดำริ,แขวงลุมพินี เขตปทุมวัน,10330,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_85,SGS (Thailand) Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"1/209, 1/211 Moo 1, Tambol Ban Chang,","Amphur Ban Chang, ",21230,Rayong,Thailand,038-685260-4,,,,,,,
res_partner_cust_86,Siam Rubber Limited Partnership,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"9 Moo 3 Setthakit 1st  Road., Omnol,",Kratumban,74130,Samutprakarn,Thailand,,,,,,,,
res_partner_cust_87,"S.T. Control Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"84/1 Soi Ramkhamhaeng 9 (Thararom), Ramkhamhaeng","Road, Wangthonglang District",10310,Bangkok,Thailand,+66 2 717 3455,,66 2 717 3434,,,,,
res_partner_cust_88,"Siam Styrene Monomer Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"14th & 15thl.,White Group Building 75 Soi Rubia,","Sukhumvit 42, Prakanong, Klongtoey, ",10110,Bangkok,Thailand,02-3657000,,02-3811249,,,,,
res_partner_cust_89,บริษัท  เอสซีจี เคมิคอลส์ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,1 ถ.ปูนซิเมนต์ไทย  แขวงบางซื่อ,เขตบางซื่อ ,10800,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_90,บริษัท สยามเคมีคอลอินดัสตรี้ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,549 หมู่ 7 ถนนสุขุมวิท กม.36 ตำบลบางปูใหม่,อำเภอเมือง ,10280,สมุทรปราการ,Thailand,,,,,,,,
res_partner_cust_91,Siam City Cement Public Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"99 Moo9 Mitaparb Rd., KM129 Tambon Tapkwung,",Amphur Kangkhoi ,18260,Sarburi,Thailand,,,,,,,,
res_partner_cust_92,"Siam Synthetic Latex Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"75 Soi Sangchan-Rubia, Sukhumvit Rd.,","Prakanong, Klongtoey",10110,Bangkok,Thailand,,,,,,,,
res_partner_cust_93,Shin-Etsu Silicones (Thailand)  Ltd.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"2 Moo 2, Asia Industrial Estate, Tambon Banchang,",Amphur Banchang,21150,Rayong,Thailand,,,,,,,,
res_partner_cust_94,"SIAM TINPLATE CO., LTD.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"9, I-5 Road, Map Ta Phut Industrial Estate,",Amphur Muang,21150,Rayong,Thailand,038-683231-6,,,,,,,
res_partner_cust_95,นายสมภพ  สามารถ,,,,,TRUE,TRUE,FALSE,,Default,FALSE,9/1 ม.1 ต.บ้านสวน อ.เมืองชลบุรี,จ.ชลบุรี,,choolburi,Thailand,,,,,,,,
res_partner_cust_96,SRF Industries (Thailand) Ltd.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"3 Map Ta Phut Industrial Estate I-1 Road,","T. Maptaphut, A. Muang",21150,Rayong,Thailand,"038-683102-3, 683600-6",,"038-683101, 684936",,,,,
res_partner_cust_97,บริษัท ไทยโพลีคาร์บอเนต จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"อาคารเอ็มโพเรี่ยม ชั้น 24/4-7,  622 ถ.สุขุมวิท",แขวงคลองตัน  เขตคลองเตย ,10110,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_98,บริษัท ไทยโพลิเอททีลีน จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,271 ถ.สุขุมวิท  ต.มาบตาพุด,อ.เมืองระยอง  ,21150,ระยอง,Thailand,,,,,,,,
